season;team_api_id;player_id
2008/2009;8635;34480
2008/2009;8635;106013
2008/2009;8635;38388
2008/2009;8635;26458
2008/2009;8635;13423
2008/2009;8635;38389
2008/2009;8635;38798
2008/2009;8635;30949
2008/2009;8635;38253
2008/2009;8635;38383
2008/2009;8635;46552
2008/2009;9987;37937
2008/2009;9987;38780
2008/2009;9987;38293
2008/2009;9987;148313
2008/2009;9987;104411
2008/2009;9987;148314
2008/2009;9987;37202
2008/2009;9987;43158
2008/2009;9987;9307
2008/2009;9987;42153
2008/2009;9987;32690
2008/2009;9987;38782
2008/2009;9998;38252
2008/2009;9998;38320
2008/2009;9998;39156
2008/2009;9998;39151
2008/2009;9998;166554
2008/2009;9998;15652
2008/2009;9998;39145
2008/2009;9998;46890
2008/2009;9998;38947
2008/2009;9998;46881
2008/2009;9998;39158
2008/2009;9998;119118
2008/2009;9984;36835
2008/2009;9984;131403
2008/2009;9984;37047
2008/2009;9984;37021
2008/2009;9984;38186
2008/2009;9984;27110
2008/2009;9984;32863
2008/2009;9984;37957
2008/2009;9984;37909
2008/2009;9984;104386
2008/2009;9984;38251
2008/2009;9984;37065
2008/2009;9991;104378
2008/2009;9991;41109
2008/2009;9991;27838
2008/2009;9991;36841
2008/2009;9991;38337
2008/2009;9991;33662
2008/2009;9991;37044
2008/2009;9991;32760
2008/2009;9991;38229
2008/2009;9991;12574
2008/2009;9991;46335
2008/2009;9999;38318
2008/2009;9999;131411
2008/2009;9999;46580
2008/2009;9999;38247
2008/2009;9999;16387
2008/2009;9999;94284
2008/2009;9999;45832
2008/2009;9999;33671
2008/2009;9999;163670
2008/2009;9999;33622
2008/2009;9999;148336
2008/2009;8571;33676
2008/2009;8571;148325
2008/2009;8571;67940
2008/2009;8571;46231
2008/2009;8571;67939
2008/2009;8571;38249
2008/2009;8571;39625
2008/2009;8571;39859
2008/2009;8571;40521
2008/2009;8571;148302
2008/2009;8571;148329
2008/2009;4049;32990
2008/2009;4049;94281
2008/2009;4049;94184
2008/2009;4049;15456
2008/2009;4049;37085
2008/2009;4049;37972
2008/2009;4049;148292
2008/2009;4049;148289
2008/2009;4049;17703
2008/2009;10001;38341
2008/2009;10001;38343
2008/2009;10001;38349
2008/2009;10001;21834
2008/2009;10001;37953
2008/2009;10001;38339
2008/2009;10001;30404
2008/2009;10001;38353
2008/2009;10001;38348
2008/2009;10001;37025
2008/2009;10001;17883
2008/2009;8342;37990
2008/2009;8342;34025
2008/2009;8342;21812
2008/2009;8342;11736
2008/2009;8342;37858
2008/2009;8342;38366
2008/2009;8342;37983
2008/2009;8342;39578
2008/2009;8342;38336
2008/2009;8342;52280
