season;team_api_id;nb_player;overall_rating;potential;finishing;heading_accuracy;short_passing;dribbling;sprint_speed;balance;shot_power;jumping;stamina;strength;positioning;penalties;sliding_tackle
2011/2012;8721;27;1988.0;2093.5;1388.0;1759.5;1800.0;1589.0;1803.0;1709.5;1866.0;1884.5;1861.5;1913.0;1432.0;1494.0;1506.5
2015/2016;8234;22;1548.2535;1602.4452;1038.7405;1304.5988;1407.5977;1268.9309;1494.1786;1369.8357;1351.5774;1598.8334;1535.0892;1591.5358;1149.8071;1122.2786;1098.5631
2014/2015;7844;26;1765.4369;1902.8707;1293.2129;1499.2308;1628.856;1583.8557;1797.5272;1666.1051;1611.2299;1701.2992;1750.3427;1749.7838;1418.5905;1350.4142;1257.8103
2011/2012;8722;21;1518.0;1577.0;1046.5;1318.0;1377.0;1265.0;1431.0;1325.0;1396.5;1444.0;1375.5;1469.5;1212.5;1131.0;1057.5
2010/2011;2183;17;1069.0;1167.5;718.0;872.0;945.5;834.0;1062.5;1011.0;940.5;1040.5;1122.0;1040.5;820.5;868.0;825.0
2014/2015;7842;26;1786.4429;1879.1881;1290.5952;1515.8214;1610.031;1597.1262;1754.0809;1634.5;1647.7;1720.0;1716.8643;1785.5809;1446.381;1457.2285;1305.3334
2010/2011;2186;13;676.0;759.0;478.5;566.5;617.0;621.5;710.0;666.0;563.5;656.5;734.0;698.5;563.0;525.0;499.0
2014/2015;7841;25;1631.5559;1750.6476;1105.4833;1424.0333;1447.6167;1420.4667;1585.8965;1460.125;1455.2167;1633.1833;1584.1167;1672.475;1255.0917;1204.2667;1196.1595
2015/2016;8226;23;1699.6143;1807.1317;1212.7548;1345.4769;1560.1913;1469.5786;1621.2738;1543.3778;1496.2468;1607.4;1602.4984;1594.9873;1346.923;1319.4293;1157.7103
2015/2016;208931;31;2203.725;2288.8726;1412.6259;1725.7592;1896.448;1776.5393;2141.825;2015.4536;1865.6345;2221.9263;2082.5469;2127.7214;1547.9882;1603.5679;1569.6274
2010/2011;2182;21;1400.0;1524.5;1040.0;1093.5;1311.5;1220.5;1439.0;1231.0;1233.0;1256.0;1461.5;1338.5;1126.5;1007.5;913.0
2010/2011;8322;8;412.5;451.0;220.5;306.0;312.0;290.0;358.5;429.5;272.0;391.5;457.0;462.0;247.0;241.0;278.0
2014/2015;9876;27;1896.8405;1964.3833;1234.35;1642.131;1694.9023;1511.2643;1714.9714;1622.2678;1696.6476;1830.2107;1700.4108;1867.7333;1412.9286;1419.4;1424.637
2010/2011;8315;23;1704.5;1801.0;1172.0;1393.5;1556.5;1391.0;1696.0;1585.0;1457.0;1646.0;1707.5;1698.0;1373.0;1205.0;1280.0
2014/2015;9875;24;1827.6119;1894.0929;1347.3191;1486.0238;1644.5762;1593.9882;1766.7833;1588.5;1680.9;1706.25;1751.7833;1700.1357;1472.231;1445.0654;1307.2084
2015/2016;10265;23;1476.0111;1530.8762;1096.8239;1191.3556;1360.8611;1292.6576;1529.2916;1506.9996;1251.5302;1506.85;1434.5536;1497.3096;1281.4333;1190.75;995.3333
2015/2016;10264;30;2172.3438;2283.7158;1469.769;1820.0857;1890.7429;1807.5667;2012.8405;1825.0;1915.8071;1993.1833;2009.6904;2058.3833;1651.1047;1593.8953;1438.0905
2015/2016;10269;25;1833.683;1919.3607;1240.3575;1441.9464;1626.2059;1469.4318;1709.6777;1538.3322;1568.9727;1667.1786;1727.5667;1757.9;1369.5088;1300.175;1352.9829
2015/2016;10267;27;2099.771;2219.7798;1510.0032;1622.1111;1904.0635;1743.1952;1932.9147;1815.75;1812.0374;1955.996;1905.7301;1924.95;1602.1222;1563.9556;1479.0079
2014/2015;9885;25;1960.075;2030.5834;1399.6821;1648.9528;1748.7726;1713.2916;1851.8013;1755.6714;1793.3461;1839.0416;1881.3009;1836.0774;1563.7334;1507.1302;1562.897
2014/2015;9880;28;1863.3643;1980.9575;1197.8868;1534.2286;1668.7515;1531.2721;1779.7858;1711.6333;1758.5309;1802.725;1803.45;1904.125;1419.5243;1404.7974;1369.5402
2015/2016;10261;27;1994.6453;2105.6191;1446.6666;1662.0;1794.3;1747.0476;1887.9584;1797.0;1708.7916;1920.3334;1913.0834;1892.0;1541.2142;1521.6666;1348.5977
2015/2016;10260;26;2003.725;2130.1106;1403.4238;1604.2229;1846.3015;1778.1364;1819.0;1746.4668;1662.7928;1838.422;1840.7145;1808.69;1568.0978;1519.2072;1419.4473
2014/2015;9882;26;1866.1012;1986.506;1295.3429;1607.275;1695.244;1634.3667;1843.0583;1644.5;1751.7703;1830.5358;1796.075;1875.5881;1516.8179;1411.975;1342.6083
2010/2011;8305;23;1701.5;1830.5;1198.5;1383.0;1524.5;1432.5;1691.0;1632.0;1488.5;1597.0;1597.5;1609.5;1336.5;1229.0;1161.5
2011/2012;8689;29;2002.5;2158.0;1320.0;1574.0;1811.0;1584.5;2020.5;1980.5;1591.0;1795.5;1859.0;1809.0;1463.5;1387.0;1272.5
2015/2016;10249;24;1719.5969;1791.1057;1219.2509;1385.6423;1581.5867;1469.068;1614.1194;1515.6095;1445.1753;1619.4331;1530.4703;1636.0762;1290.5839;1318.3572;1193.1707
2014/2015;7878;26;1851.0024;1950.6666;1333.9417;1498.2941;1665.1512;1587.106;1788.5667;1703.7333;1788.3477;1755.2916;1790.8167;1827.75;1492.1;1373.6583;1327.7678
2014/2015;9925;30;2045.3678;2213.1926;1482.6666;1688.9318;1900.8309;1900.4005;2146.6726;2007.5917;1910.3715;2063.5645;2061.6926;2053.757;1662.7881;1582.075;1471.0485
2010/2011;8302;30;2189.5;2380.0;1551.5;1840.5;1992.0;1951.5;2167.0;2009.0;1990.5;2041.0;2060.5;2069.5;1723.5;1560.5;1438.0
2015/2016;10252;25;1828.539;1915.2667;1319.9277;1536.0277;1634.9166;1572.25;1720.3223;1601.8334;1640.1389;1733.4445;1774.6389;1803.3944;1436.0723;1445.8278;1381.1722
2015/2016;8203;24;1628.3075;1704.4882;1066.75;1506.2817;1534.4861;1382.3611;1484.4048;1433.3472;1537.6825;1570.0834;1633.2024;1711.0;1260.375;1253.0;1260.5
2015/2016;10242;31;2067.2334;2174.5857;1392.6666;1661.0834;1865.8143;1702.2167;1997.25;1996.3334;1741.1666;2008.5167;1966.8214;1994.8334;1551.6666;1574.0834;1480.0
2011/2012;8697;26;1903.0;2033.5;1300.5;1633.5;1737.5;1550.0;1734.5;1669.5;1746.5;1688.0;1765.0;1757.0;1496.5;1488.0;1326.0
2014/2015;9931;27;1832.3857;1970.7279;1431.3102;1575.437;1707.932;1666.6135;1936.7908;1810.4076;1743.8021;1886.7574;1852.4019;1894.2106;1537.9126;1504.7024;1326.4248
2011/2012;8696;28;1865.0;1961.5;1303.5;1513.5;1569.5;1499.0;1682.0;1655.5;1608.0;1723.0;1744.5;1848.5;1504.5;1464.5;1165.0
2015/2016;8197;18;1330.5455;1369.7385;990.8555;1117.3368;1172.7338;1154.2969;1264.0712;1179.5358;1248.8;1231.0667;1330.3795;1284.1951;1091.091;1044.2555;1001.31647
2014/2015;9927;30;1820.3833;1986.4166;1281.8;1558.6;1653.4833;1591.9833;1961.9;1945.55;1596.1;1973.4;1933.8667;1892.15;1435.3;1352.3334;1379.1333
2014/2015;9930;23;1401.25;1491.5834;1084.4166;1207.75;1310.3334;1220.5;1503.0;1429.5;1305.0834;1418.3334;1359.8334;1486.125;1164.3334;1153.0;1069.0
2015/2016;10243;29;1814.4166;1962.8;1315.7167;1523.1333;1666.0167;1547.3833;1863.75;1841.5;1607.3833;1888.0;1779.25;1856.5;1554.3;1485.3833;1294.7833
2014/2015;9908;31;1961.8334;2169.6333;1451.8334;1587.4333;1798.9166;1780.8167;2069.4666;1884.6;1746.4;1932.5;1855.6167;1969.65;1569.9333;1532.6;1346.4166
2015/2016;10233;29;2140.7993;2216.8606;1465.2408;1788.7478;1953.6146;1881.9702;2046.8452;1919.5143;1906.921;2054.4143;2036.0145;1947.9143;1637.686;1567.9067;1600.8585
2014/2015;9910;18;1312.6666;1373.5;914.5833;1073.0834;1191.3;1118.6666;1227.1666;1208.1666;1115.75;1298.25;1214.0;1190.5;1061.9166;981.75;916.5833
2014/2015;9904;23;1670.95;1743.7858;1134.5714;1501.2524;1576.0619;1473.2142;1548.238;1423.3857;1623.3572;1593.2667;1570.55;1635.9333;1288.5786;1293.9;1326.6786
2015/2016;10238;23;1574.9636;1671.5034;1103.4166;1368.4166;1360.8864;1329.8788;1541.9373;1403.9242;1443.25;1556.7878;1535.5834;1580.0;1146.591;1194.5834;1098.1288
2014/2015;9906;20;1586.0476;1631.5714;1139.4226;1335.1786;1424.2142;1309.9286;1443.3096;1247.8;1392.8214;1452.9524;1499.7142;1493.3096;1249.6428;1206.1072;1189.488
2014/2015;9905;24;1755.398;1834.4329;1262.4851;1431.9152;1645.2563;1547.0414;1685.0057;1646.275;1544.0667;1721.0603;1665.6398;1569.2686;1389.6501;1324.2046;1310.3802
2015/2016;10235;21;1537.4597;1609.228;1134.7399;1296.686;1472.5189;1407.7263;1416.2091;1356.3583;1494.1174;1552.559;1556.8325;1475.3042;1279.8933;1264.995;1128.7056
2015/2016;8178;25;1873.1;1998.6;1275.1666;1476.4778;1715.9166;1628.1389;1769.8889;1616.2222;1654.95;1757.711;1723.5834;1715.1945;1468.0723;1335.1666;1392.289
2015/2016;8177;21;1550.4973;1611.7283;1000.148;1181.5967;1449.6614;1347.3998;1432.2048;1394.6117;1244.1155;1432.5278;1455.004;1352.4341;1153.1277;1146.4445;1117.5522
2010/2011;8277;25;1674.5;1861.0;1189.5;1436.5;1562.5;1538.0;1779.5;1649.0;1467.0;1656.5;1686.0;1664.0;1280.5;1354.5;1120.5
2014/2015;7869;31;2154.0977;2257.575;1562.5167;1794.4797;1952.4524;1884.1345;2130.3203;2013.9166;1834.8083;2097.4524;2153.1309;2034.3417;1763.012;1707.25;1483.8833
2015/2016;10229;25;1743.9999;1871.4899;1253.3558;1323.6799;1616.472;1580.0283;1744.2819;1668.9762;1645.748;1556.9221;1703.4146;1613.4501;1430.6782;1291.1571;1252.4238
2015/2016;10228;17;1184.4417;1281.1167;817.94165;943.2;1056.6;1092.275;1199.0;1110.425;1072.9917;1129.2;1189.3;1189.775;895.44165;909.2167;912.23334
