season;team_api_id;player_id;overall_rating;potential;finishing;heading_accuracy;short_passing;dribbling;sprint_speed;balance;shot_power;jumping;stamina;strength;positioning;penalties;sliding_tackle
2008/2009;8635;34480;67.0;69.5;36.0;25.0;41.5;23.0;58.0;76.0;25.0;63.0;55.0;79.0;13.0;44.0;12.0
2008/2009;8635;106013;57.0;73.0;29.0;53.0;51.0;39.0;69.0;64.0;65.0;77.0;72.0;76.0;33.0;42.0;68.0
2008/2009;8635;38388;72.0;73.5;23.0;74.0;65.0;57.0;72.0;70.0;65.0;68.0;75.0;73.0;73.0;83.0;74.0
2008/2009;8635;26458;69.0;74.0;33.0;62.0;69.0;43.0;66.0;66.0;37.0;72.0;72.0;69.0;71.0;51.0;72.0
2008/2009;8635;13423;69.0;71.0;36.0;76.0;61.0;37.0;61.0;91.0;73.0;64.0;81.0;91.0;62.0;61.0;71.0
2008/2009;8635;38389;72.0;77.0;56.0;83.0;64.0;51.0;61.0;79.0;60.0;61.0;68.0;82.0;66.0;63.0;71.0
2008/2009;8635;38798;71.5;73.0;67.0;49.5;72.0;71.0;72.0;60.0;67.0;66.0;70.0;49.5;72.0;68.0;39.0
2008/2009;8635;30949;75.0;78.0;50.0;67.0;78.0;65.0;77.0;81.0;85.0;71.0;85.0;78.0;83.0;76.0;74.0
2008/2009;8635;38253;69.5;73.5;69.5;76.0;70.5;66.0;73.0;70.0;73.0;72.0;83.0;75.5;62.0;65.5;71.0
2008/2009;8635;38383;74.0;78.0;71.0;53.0;77.0;85.0;76.0;47.0;62.0;65.0;83.0;45.0;70.0;77.0;47.0
2008/2009;8635;46552;68.0;76.0;68.0;56.0;63.0;73.0;73.0;51.0;70.0;67.0;65.0;42.0;49.0;56.0;23.0
2008/2009;9987;37937;61.0;68.0;22.0;22.0;26.0;22.0;45.0;53.0;22.0;61.0;43.0;89.0;30.0;41.0;25.0
2008/2009;9987;38780;62.0;67.0;66.0;72.0;48.0;53.0;51.0;61.0;75.0;76.0;56.0;88.0;67.0;66.0;36.0
2008/2009;9987;38293;69.5;72.0;43.0;73.5;69.0;68.5;69.0;77.0;67.0;69.0;65.0;79.0;77.0;82.0;72.0
2008/2009;9987;148313;57.5;71.0;32.5;47.0;61.0;40.5;71.0;62.0;46.5;73.0;58.5;53.5;53.0;53.0;63.0
2008/2009;9987;104411;55.0;72.0;38.0;35.0;52.0;28.0;65.0;65.0;31.0;66.0;65.0;64.0;47.0;44.0;65.0
2008/2009;9987;148314;54.0;68.0;28.0;49.0;50.0;38.0;65.0;63.0;51.0;69.0;63.0;54.0;30.0;31.0;67.0
2008/2009;9987;37202;70.5;76.0;60.0;47.0;62.5;74.0;78.5;51.0;58.0;67.0;68.0;47.0;59.0;63.5;27.0
2008/2009;9987;43158;67.0;83.0;56.0;54.0;62.0;60.0;77.0;66.0;81.0;64.0;74.0;57.0;66.0;60.0;67.0
2008/2009;9987;9307;65.0;67.0;43.0;62.0;60.0;48.0;64.0;75.0;75.0;65.0;83.0;71.0;73.0;68.0;65.0
2008/2009;9987;42153;69.5;74.0;75.0;45.5;71.0;73.0;72.0;66.0;69.5;70.0;67.0;57.0;70.5;77.0;34.0
2008/2009;9987;32690;68.0;62.0;72.0;52.0;52.0;74.0;78.0;62.0;55.0;72.0;70.0;67.0;70.0;66.0;35.0
2008/2009;9987;38782;63.0;72.0;66.0;59.0;47.0;64.0;75.0;61.0;62.0;62.0;72.0;60.0;52.0;54.0;22.0
2008/2009;9998;38252;68.0;71.0;20.0;20.0;53.0;35.0;35.0;0.0;63.0;0.0;60.0;67.0;17.0;50.0;0.0
2008/2009;9998;38320;63.0;63.0;64.0;78.0;53.0;51.0;57.0;33.0;67.0;64.0;57.0;88.0;67.0;65.0;15.0
2008/2009;9998;39156;62.0;65.0;40.0;61.0;65.0;54.0;52.0;0.0;48.0;0.0;61.0;53.0;59.0;62.0;0.0
2008/2009;9998;39151;63.0;65.0;29.0;62.0;58.0;51.0;64.0;0.0;54.0;0.0;69.0;71.0;74.0;60.0;0.0
2008/2009;9998;166554;55.0;69.0;26.0;53.0;50.0;31.5;65.5;64.0;38.0;65.0;68.0;59.0;35.0;40.5;59.0
2008/2009;9998;15652;56.0;64.0;29.0;57.0;54.0;27.0;60.0;0.0;56.0;0.0;61.0;66.0;56.0;60.0;0.0
2008/2009;9998;39145;62.0;69.0;52.0;46.0;64.0;69.0;67.0;42.0;58.0;63.0;67.0;47.0;55.0;63.0;24.0
2008/2009;9998;46890;61.5;67.0;45.0;49.0;63.0;67.0;71.0;58.0;54.0;64.0;50.0;60.0;50.0;49.0;49.0
2008/2009;9998;38947;68.0;72.0;65.0;56.0;59.0;72.0;73.0;63.0;78.0;69.0;61.0;72.0;67.0;71.0;26.0
2008/2009;9998;46881;64.0;69.0;20.0;50.0;65.0;22.0;55.0;80.0;48.0;74.0;74.0;78.0;69.0;62.0;60.0
2008/2009;9998;39158;62.0;64.0;41.0;55.0;58.0;53.0;69.0;69.0;60.0;66.0;74.0;66.0;53.0;55.0;68.0
2008/2009;9998;119118;63.0;65.0;56.0;52.0;51.0;52.0;75.0;67.0;62.0;71.0;65.0;72.0;61.0;62.0;25.0
2008/2009;9984;36835;64.0;67.0;20.0;20.0;56.0;36.0;58.0;56.0;65.0;71.0;43.0;58.0;59.0;62.0;19.0
2008/2009;9984;131403;50.0;65.0;21.0;21.0;21.0;21.0;41.0;57.0;21.0;62.0;60.0;68.0;34.0;30.0;25.0
2008/2009;9984;37047;64.0;65.5;39.0;60.0;61.0;44.0;69.0;68.0;65.0;67.0;73.0;64.0;66.0;71.0;66.0
2008/2009;9984;37021;63.0;65.0;54.0;62.0;50.0;27.0;63.0;72.0;67.0;65.0;67.0;71.0;47.0;53.0;63.0
2008/2009;9984;38186;63.0;74.0;29.0;58.0;50.0;20.0;67.0;49.0;71.0;60.0;71.0;78.0;52.0;59.0;62.0
